Albrecht Präzision GmbH & Co. KG	Albrecht Präzision GmbH &amp;amp; Co. KG	Antoniusstr. 25	Moritz Kächele	Uwe Rolf
Allmendinger Elektromechanik KG	Allmendinger Elektromechanik KG	Robert-Bosch-Str. 24-26	Daniel Allmendinger	Nadine Allmendinger
alphacam GmbH	alphacam GmbH	Erlenwiesen 16	<Not Found>	<Not Found>
ALZMETALL Werkzeugmaschinenfabrik und Gießerei Friedrich GmbH & Co. KG	Alzmetall Werkzeugmaschinenfabrik und Gießerei Friedrich - GmbH &amp;amp; Co. KG	Harald-Friedrich-Str. 2-8	Rudolf Wallisch	Ludwig Probst
Apfel GmbH	Apfel GmbH	Gerhart-Hauptmann-Str. 56	Dirk Böcker	<Not Found>
Baublies AG	Baublies AG	Brunnenfeldstr. 42	Thomas Kappel	<Not Found>
Bedrunka+Hirth Gerätebau GmbH	Bedrunka &amp;amp; Hirth Gerätebau GmbH	Gießnau 8	<Not Found>	<Not Found>
Bessey Tool GmbH & Co. KG	BESSEY Tool GmbH &amp;amp; Co. KG	Mühlwiesenstr. 40	Carsten Spang	Rainer Steinle
CHIRON Group SE	CHIRON Group SE	Kreuzstr. 75	Dr. Claus Eppler	Jörg Seifermann
CHIRON WERKE GmbH & Co. KG	<Not Found>	<Not Found>	<Not Found>	<Not Found>
D&M Werkzeugmaschinen GmbH	D&amp;amp;M Werkzeugmaschinen GmbH	Zeppelinstr. 15	Karin Stigler	<Not Found>
E. Zoller GmbH & Co. KG	E. ZOLLER GmbH &amp;amp; Co. KG Einstell- und Messgeräte	Gottlieb-Daimler-Str. 19	Peter Hunke	<Not Found>
ERBO GmbH	ERBO Fahrzeugteile GmbH	Hattingerstr. 805	<Not Found>	<Not Found>
EVO Informationssysteme GmbH	EVO Informationssysteme GmbH	Ludwig-Bölkow-Str. 15	Heiko Betzler	Antje Widmann
Fauser AG	Fauser AG	Talhofstr. 30	Christine Fauser	<Not Found>
Fritz Hartmann GmbH & Co. KG	Fritz Hartmann Präzisionswerkzeuge GmbH &amp;amp; Co KG	Benzstr. 45	<Not Found>	<Not Found>
GEWEFA Josef C. Pfister GmbH & Co. KG	GEWEFA JOSEF C. PFISTER GmbH &amp;amp; Co. KG	Josef-Mayer-Str. 50	Josef Norbert Schmid	Beate Pfister
GROB-WERKE GmbH & Co. KG	GROB-WERKE GmbH &amp;amp; Co. KG	Industriestr. 4	Robert Schmalholz	Johann Silvester Müller
Haberland Zerspanungstechnik Industriewerkzeughandel	Haberland Zerspanungstechnik Industriewerkzeughandel e. Kfm.	Neckarstr. 11	<Not Found>	<Not Found>
HAWE Hydraulik SE	HAWE Hydraulik SE	Einsteinring 17	Stefan Schmid	Gerhard Trappe
HTT Tiefbohrtechnik GmbH	HTT Tiefbohrtechnik GmbH	Gutenbergstr. 38A	<Not Found>	<Not Found>
imsimity GmbH	imsimity GmbH	Leopoldstr. 1	<Not Found>	<Not Found>
